Temporada,Equipo,PJ,MJ,Tit.,Sup.,Record,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Puntaje medios,Player
2020/21,ArgentinaBarcelona,50,4462,48,2,32-8-10,38 (0.77),8 (72.73%),6 (0.12),1 (0.02),6.79,messi lionel
2019/20,ArgentinaBarcelona,46,3991,44,2,28-10-8,33 (0.74),6 (85.71%),7 (0.16),0 (0),7.5,messi lionel
2018/19,ArgentinaBarcelona,58,4703,51,7,39-12-7,54 (1.03),6 (85.71%),2 (0.04),1 (0.02),6.12,messi lionel
2017/18,ArgentinaBarcelona,64,5370,58,6,42-16-6,52 (0.87),4 (50%),8 (0.13),0 (0),6.45,messi lionel
2016/17,ArgentinaBarcelona,57,4900,55,2,42-7-8,57 (1.05),10 (90.91%),9 (0.17),0 (0),6.38,messi lionel
2015/16,ArgentinaBarcelona,59,4960,54,5,44-9-6,50 (0.91),5 (55.56%),6 (0.11),0 (0),7.23,messi lionel
2014/15,ArgentinaBarcelona,67,5888,65,3,52-7-8,62 (0.95),8 (66.67%),7 (0.11),0 (0),7.11,messi lionel
2013/14,ArgentinaBarcelona,57,4744,53,5,37-13-7,48 (0.91),10 (83.33%),3 (0.06),0 (0),6.27,messi lionel
2012/13,ArgentinaBarcelona,62,5033,54,10,41-14-7,69 (1.23),7 (87.50%),2 (0.04),0 (0),7.11,messi lionel
2011/12,ArgentinaBarcelona,69,6031,66,3,50-14-5,82 (1.22),15 (83.33%),9 (0.13),0 (0),7.77,messi lionel
2010/11,ArgentinaBarcelona,66,5564,59,9,45-14-7,57 (0.92),6 (75%),4 (0.06),0 (0),7.91,messi lionel
2009/10,ArgentinaBarcelona,64,5385,57,8,47-9-8,48 (0.80),3 (100%),7 (0.12),0 (0),5.94,messi lionel
2008/09,ArgentinaArgentina S-23Barcelona,65,5153,55,13,46-13-6,43 (0.75),4 (66.67%),6 (0.10),0 (0),6.17,messi lionel
2007/08,ArgentinaArgentina S-23Barcelona,51,3871,45,6,28-15-8,19 (0.44),5 (83.33%),7 (0.16),0 (0),6.19,messi lionel
2006/07,ArgentinaBarcelona,46,3538,40,7,27-8-11,21 (0.53),1 (100%),5 (0.13),0 (0),6.0,messi lionel
2005/06,ArgentinaBarcelona,35,1873,21,18,26-4-5,10 (0.48),-,2 (0.10),1 (0.05),7.22,messi lionel
2004/05,Argentina S-20Barcelona,25,1334,12,25,18-4-3,12 (0.81),2 (100%),2 (0.13),0 (0),0.0,messi lionel
